"","subject","session","task","cuecol","cueloc","validity","targloc","targtilt","delay","resp","time","corr"
"1913",1,NA,1,2,5,1,5,1,1.16954458779753,1,0.336536882536166,1
"1914",1,NA,1,2,5,1,5,2,1.07957961950542,2,0.685371459654561,1
"1915",1,NA,1,1,6,1,6,1,1.25950955608965,1,0.467585232843703,1
"1916",1,NA,1,1,7,0,6,1,1.34947452438177,1,0.61599746605134,1
"1917",1,NA,1,1,2,0,1,2,1.01960297397734,2,0.512453072900826,1
"1918",1,NA,1,1,2,1,2,2,1.19953291056157,2,0.396831080681295,1
"1919",1,NA,1,1,1,1,1,1,1.32948230920574,1,0.479439315218769,1
"1920",1,NA,1,2,1,1,1,1,1.3694667395578,1,0.442468399756763,1
"1921",2,NA,1,1,1,1,1,1,1.21987367918715,1,0.988130438374355,1
"1922",2,NA,1,2,3,1,3,2,1.35985918335617,2,0.741417434532195,1
"1923",2,NA,1,2,8,1,8,1,1.09988610418513,1,0.582826265715994,1
"1924",2,NA,1,1,7,1,7,1,1.34986021877266,1,0.773701012018137,1
"1925",2,NA,1,2,5,1,5,2,1.30986436043866,1,1.0193091686815,0
"1926",2,NA,1,1,3,1,3,2,1.38985607710667,2,0.380099164554849,1
"1927",2,NA,1,1,7,1,7,1,1.27986746668816,1,0.463997222832404,1
"1928",2,NA,1,2,7,1,7,2,1.10988506876864,1,0.600793920340948,0
"1929",2,NA,1,2,4,1,4,1,1.31986332502216,1,1.02664855436888,1
"1930",2,NA,1,2,8,1,8,2,1.18987678543665,2,0.533768027322367,1
"1931",2,NA,1,2,5,1,5,1,1.19987575002015,1,0.519733146182261,1
"1932",2,NA,1,2,4,1,4,2,1.38985607710667,1,0.819991094758734,0
"1933",2,NA,1,2,3,0,2,2,1.07988817501813,2,0.814732202910818,1
"1934",2,NA,1,2,2,1,2,1,1.09988610418513,1,0.580559819471091,1
"1935",2,NA,1,1,2,0,4,2,1.01989438751712,2,0.687424513394944,1
"1936",2,NA,1,1,6,1,6,2,1.23987160835415,2,0.521045378642157,1
"1937",2,NA,1,2,8,1,8,2,0.999896458350122,2,0.656502675265074,1
"1938",2,NA,1,2,6,1,6,1,1.20987471460365,1,0.537730082171038,1
"1939",2,NA,1,1,5,0,2,1,1.20987471460365,1,1.00331665494014,1
"1940",2,NA,1,1,2,1,2,2,1.36985814793967,2,0.580812485306524,1
"1941",2,NA,1,2,3,1,3,1,1.25986953752115,1,1.01120454014745,1
"1942",2,NA,1,1,7,1,7,2,1.24987057293765,2,0.879068426555023,1
"1943",2,NA,1,1,1,1,1,1,1.20987471460365,1,0.607737251673825,1
"1944",2,NA,1,2,1,1,1,1,1.07988817501813,1,0.625639098347165,1
"1945",2,NA,1,2,8,1,8,2,1.09988610418513,2,0.624411993310787,1
